url,taste,roast,origin
https://beanbox.com/243,Fruit,Medium,
https://beanbox.com/244,Anise,Dark,
https://beanbox.com/244,Lemon,Dark,
https://beanbox.com/244,Tobacco,Dark,
https://beanbox.com/245,Cocoa,Light,Guatemalan
https://beanbox.com/245,Guava,Light,Guatemalan
https://beanbox.com/246,Brown Sugar,Light,Burundi
https://beanbox.com/246,Cinnamon,Light,Burundi
https://beanbox.com/246,Spice,Light,Burundi
https://beanbox.com/247,Cherry,Light,Panama
https://beanbox.com/247,Nutmeg,Light,Panama
https://beanbox.com/247,Peach,Light,Panama
https://beanbox.com/248,Caramel,Light,
https://beanbox.com/248,Lemon,Light,
https://beanbox.com/248,Rose,Light,
https://beanbox.com/250,Black Tea,Medium,
https://beanbox.com/250,Marionberry,Medium,
https://beanbox.com/250,Toffee,Medium,
https://beanbox.com/251,Brown Sugar,Medium,
https://beanbox.com/251,Chocolate,Medium,
https://beanbox.com/251,Molasses,Medium,
https://beanbox.com/252,Caramel,Medium,Colombian
https://beanbox.com/252,Chocolate,Medium,Colombian
https://beanbox.com/252,Citrus,Medium,Colombian
https://beanbox.com/253,Chocolate,Light,Colombian
https://beanbox.com/253,Citrus,Light,Colombian
https://beanbox.com/253,Orange,Light,Colombian
https://beanbox.com/255,Chocolate,Medium,Brazilian
https://beanbox.com/255,Cookie Dough,Medium,Brazilian
https://beanbox.com/255,Nutty,Medium,Brazilian
https://beanbox.com/257,Black Tea,Medium,Burundi
https://beanbox.com/257,Caramel,Medium,Burundi
https://beanbox.com/257,Floral,Medium,Burundi
https://beanbox.com/258,Fruit,Light,Panama
https://beanbox.com/258,Watermelon,Light,Panama
https://beanbox.com/259,Cherry,Dark,
https://beanbox.com/259,Chocolate,Dark,
https://beanbox.com/259,Vanilla,Dark,
https://beanbox.com/260,Cocoa,Light,Colombian
https://beanbox.com/260,Fruit,Light,Colombian
https://beanbox.com/260,Nutmeg,Light,Colombian
https://beanbox.com/261,Cherry,Light,Ethiopian
https://beanbox.com/261,Clove,Light,Ethiopian
https://beanbox.com/261,Spice,Light,Ethiopian
https://beanbox.com/262,Chocolate,Light,Ethiopian
https://beanbox.com/262,Honey,Light,Ethiopian
https://beanbox.com/264,Caramel,Medium,
https://beanbox.com/264,Cocoa,Medium,
https://beanbox.com/264,Toffee,Medium,
https://beanbox.com/266,Floral,Light,Costa Rican
https://beanbox.com/266,Honey,Light,Costa Rican
https://beanbox.com/266,Lime,Light,Costa Rican
https://beanbox.com/267,Herbal,Dark,
https://beanbox.com/267,Toast,Dark,
https://beanbox.com/268,Cocoa,Light,Ecuadorian
https://beanbox.com/268,Melon,Light,Ecuadorian
